groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
se;sé;885;99 %;;;
se;sè;7;1 %;;;
se;se;3;0 %;oui;;
te;té;726;95 %;;;
te;tè;35;5 %;;;
te;te;3;0 %;oui;;
fe;fè;404;98 %;;;
fe;fe;6;1 %;oui;;
fe;fé;3;1 %;;;
ke;ké;337;93 %;;;
ke;kè;26;7 %;;;
pe;pé;244;73 %;;;
pe;pè;90;27 %;;;
le;lè;211;85 %;;;
le;lé;32;13 %;;;
le;le;5;2 %;oui;;
kon;kon;214;98 %;oui;;
kon;kòn;5;2 %;;;
me;mé;187;94 %;;;
me;mè;11;6 %;;;
me;me;1;1 %;oui;;
zot;zòt;145;96 %;;;
zot;zot;6;4 %;oui;;
es;ès;110;81 %;;;
es;es;22;16 %;oui;;
es;és;4;3 %;;;
de;dé;111;85 %;;;
de;dè;10;8 %;;;
de;de;9;7 %;oui;;
eve;èvè;111;90 %;;;
eve;évè;11;9 %;;;
eve;evè;1;1 %;;;
pye;pyè;59;51 %;;;
pye;pyé;50;43 %;;;
pye;pye;6;5 %;oui;;
bel;bèl;88;86 %;;;
bel;bel;14;14 %;oui;;
epi;épi;97;96 %;;;
epi;epi;3;3 %;oui;;
epi;èpi;1;1 %;;;
bon;bon;97;99 %;oui;;
bon;bòn;1;1 %;;;
fo;fò;73;78 %;;;
fo;fo;21;22 %;oui;;
vle;vlé;84;93 %;;;
vle;vlè;6;7 %;;;
ye;yé;81;90 %;;;
ye;yè;9;10 %;;;
kote;koté;76;99 %;;;
kote;kote;1;1 %;oui;;
mo;mò;50;67 %;;;
mo;mo;25;33 %;oui;;
rete;rété;64;97 %;;;
rete;rétè;2;3 %;;;
manje;manjé;64;98 %;;;
manje;manje;1;2 %;oui;;
soti;sòti;58;98 %;;;
soti;soti;1;2 %;oui;;
tet;tèt;52;91 %;;;
tet;tet;5;9 %;oui;;
dot;dòt;51;94 %;;;
dot;dot;3;6 %;oui;;
tete;tètè;50;96 %;;;
tete;tété;2;4 %;;;
depi;dépi;35;67 %;;;
depi;dèpi;17;33 %;;;
anko;ankò;46;90 %;;;
anko;anko;5;10 %;oui;;
kreyol;kréyòl;45;88 %;;;
kreyol;kréyol;5;10 %;;;
kreyol;krèyòl;1;2 %;;;
ale;alé;35;69 %;;;
ale;alè;16;31 %;;;
deye;dèyè;46;92 %;;;
deye;déyè;4;8 %;;;
fet;fèt;40;87 %;;;
fet;fet;6;13 %;oui;;
pati;pati;41;98 %;oui;;
pati;pâti;1;2 %;;;
ko;kò;37;88 %;;;
ko;ko;5;12 %;oui;;
pawol;pawòl;34;83 %;;;
pawol;pawol;7;17 %;oui;;
pote;pòté;27;68 %;;;
pote;poté;13;32 %;;;
mache;maché;36;95 %;;;
mache;machè;2;5 %;;;
konnet;konnèt;29;78 %;;;
konnet;konnet;7;19 %;oui;;
konnet;konnét;1;3 %;;;
sevi;sèvi;32;97 %;;;
sevi;sévi;1;3 %;;;
cheche;chèché;32;97 %;;;
cheche;chèchè;1;3 %;;;
dwet;dwèt;30;94 %;;;
dwet;dwet;2;6 %;oui;;
peyi;péyi;30;94 %;;;
peyi;pèyi;2;6 %;;;
koule;koulé;18;60 %;;;
koule;koulè;12;40 %;;;
met;mèt;24;83 %;;;
met;met;5;17 %;oui;;
bwe;bwè;27;96 %;;;
bwe;bwe;1;4 %;oui;;
chante;chanté;27;96 %;;;
chante;chantè;1;4 %;;;
achte;achté;16;57 %;;;
achte;achte;12;43 %;oui;;
alo;alò;26;96 %;;;
alo;alo;1;4 %;oui;;
demen;dèmen;26;96 %;;;
demen;démén;1;4 %;;;
gwo;gwo;25;96 %;oui;;
gwo;gwò;1;4 %;;;
soley;solèy;23;88 %;;;
soley;sòlèy;2;8 %;;;
soley;soley;1;4 %;oui;;
lanne;lanné;21;88 %;;;
lanne;lanne;3;12 %;oui;;
ped;pèd;19;79 %;;;
ped;ped;4;17 %;oui;;
ped;péd;1;4 %;;;
bo;bo;12;50 %;oui;;
bo;bò;12;50 %;;;
po;po;21;91 %;oui;;
po;pò;2;9 %;;;
premye;prèmyé;18;78 %;;;
premye;premyé;2;9 %;;;
premye;prémyé;2;9 %;;;
premye;prèmye;1;4 %;;;
jenn;jenn;21;95 %;oui;;
jenn;jènn;1;5 %;;;
sel;sèl;19;90 %;;;
sel;sel;2;10 %;oui;;
fos;fòs;18;86 %;;;
fos;fos;2;10 %;oui;;
fos;fós;1;5 %;;;
mize;mizè;18;86 %;;;
mize;mizé;3;14 %;;;
ve;vè;16;76 %;;;
ve;vé;4;19 %;;;
ve;ve;1;5 %;oui;;
poko;pòkò;11;52 %;;;
poko;poko;9;43 %;oui;;
poko;pòko;1;5 %;;;
lese;lésé;19;95 %;;;
lese;lésè;1;5 %;;;
make;maké;17;85 %;;;
make;makè;3;15 %;;;
lezot;lézòt;17;85 %;;;
lezot;lézot;3;15 %;;;
bef;bèf;13;65 %;;;
bef;bef;7;35 %;oui;;
petet;pétèt;14;74 %;;;
petet;pètèt;3;16 %;;;
petet;pétet;2;11 %;;;
vole;volé;15;83 %;;;
vole;vòlè;2;11 %;;;
vole;volè;1;6 %;;;
jodijou;jòdijou;16;94 %;;;
jodijou;jodijou;1;6 %;oui;;
sek;sèk;14;82 %;;;
sek;sek;3;18 %;oui;;
fre;frè;9;53 %;;;
fre;fré;8;47 %;;;
kontinye;kontinyé;15;94 %;;;
kontinye;kontinye;1;6 %;oui;;
pete;pété;15;94 %;;;
pete;pétè;1;6 %;;;
chanje;chanjé;14;88 %;;;
chanje;chanje;2;12 %;oui;;
zo;zò;11;69 %;;;
zo;zo;5;31 %;oui;;
peyi-la;péyi-la;14;93 %;;;
peyi-la;pèyi-la;1;7 %;;;
red;rèd;14;93 %;;;
red;red;1;7 %;oui;;
pres;près;12;80 %;;;
pres;prés;2;13 %;;;
